Country,Total,Method of Calculation,Homicides,Suicides,Unintentional,Undetermined,Sources and notes,Guns per 100 hab
Argentina,6.36,-2009,2.58 (2012),1.57 (2009),0.05 (2009),2.57 (2009),Guns in Argentina[1][2],10.2
Australia,0.93,-2013,0.16 (2013),0.74 (2013),0.02 (2013),0.02 (2013),Guns in Australia[3],21.7
Austria,2.63,-2011,0.10 (2011),2.43 (2011),0.01 (2009),0.04 (2011),Guns in Austria[4],30.4
Azerbaijan,0.3,(incomplete),0.27 (2010),0.01 (2007),0.02 (2007),unavailable,Guns in Azerbaijan[5],3.5
Barbados,3.12,(incomplete),3.12 (2013),unavailable,unavailable,unavailable,Guns in Barbados[6],7.8
Belarus,0.23,(incomplete),0.14 (2009),unavailable,0.09 (1996),unavailable,Guns in Belarus[7],7.3
Belgium,1.82,-2010,0.33 (2010),1.33 (2010),0.02 (2010),0.14 (2010),Guns in Belgium[8],17.2
Bolivia,0.74,(incomplete),0.74 (2010),unavailable,unavailable,unavailable,Guns in Bolivia[9],2.8
Brazil,21.2,-2014,19.99 (2014),0.45 (2014),0.18 (2014),0.59 (2014),Mapa da ViolÌ»ncia 2016[10],8
Bulgaria,1.71,-2012,0.34 (2012),0.97 (2012),0.23 (2012),0.10 (2012),Guns in Bulgaria[11],6.2
Canada,1.97,(mixed years),0.38 (2013),1.52 (2011),0.05 (2011),0.02 (2011),Statistics Canada [12],30.8
Chile,1.95,(mixed years),1.02 (2011),0.81 (2009),0.08 (2009),0.04 (2001),Guns in Chile[13],10.7
Colombia,25.94,(mixed years),23.93 (2013),0.87 (2009),0.11 (2009),1.03 (2009),Guns in Colombia[14],5.9
Costa Rica,7.5,(mixed years),5.92 (2013),1.27 (2002),0.07 (2002),0.24 (2000),Guns in Costa Rica[15],9.9
Croatia,2.68,-2012,0.40 (2012),2.37 (2012),0.05 (2012),0.02 (2010),Guns in Croatia[16],21.7
Cyprus,1.87,(mixed years),1.05 (2012),0.58 (2011),0.12 (2009),0.12 (2010),Guns in Cyprus[17],36.4
Czech Republic,2.01,-2012,0.15 (2012),1.66 (2012),0.09 (2012),0.13 (2012),Guns in Czech Republic[18],16.3
Denmark,1.28,-2011,0.22 (2011),1.09 (2011),0.04 (2008),0.02 (2010),Guns in Denmark[19],12
El Salvador,26.77,(incomplete),26.49 (2013),0.13 (2009),0.15 (1999),unavailable,Guns in El Salvador[20],5.8
Estonia,2.67,-2012,0.15 (2012),2.11 (2012),0.15 (2011),0.30 (2012),Guns in Estonia[21],9.2
Finland,3.25,-2013,0.32 (2012),2.94 (2013),0.02 (2011),0.02 (2010),Guns in Finland[22][23],27.5
France,2.83,-2012,0.21 (2012),2.16 (2012),0.04 (2012),0.41 (2012),Guns in France[24],31.2
Georgia,1.98,(mixed years),0.49 (2010),0.09 (2009),1.00 (2009),0.40 (2010),Guns in Georgia[25],7.3
Germany,1.01,-2012,0.07 (2012),0.84 (2012),0.01 (2012),0.08 (2012),Guns in Germany[26],30.3
Greece,1.52,-2011,0.53 (2011),0.86 (2011),0.06 (2011),0.00 (1998),Guns in Greece[27],22.5
Guatemala,34.1,(mixed years),29.62 (2013),0.34 (2009),1.33 (2009),2.81 (2009),Guns in Guatemala[28],13.1
Honduras,67.18,(incomplete),66.64 (2013),0.41 (2013),0.13 (2013),unavailable,Guns in Honduras[29],6.2
Hong Kong,0.03,(mixed years),0.00 (2004),0.03 (1999),0.00 (1996),0.00 (1996),Guns in Hong Kong[30],NA
Hungary,0.95,-2012,0.11 (2012),0.81 (2012),0.02 (2012),0.02 (2012),Guns in Hungary[31],5.5
Iceland,1.25,(incomplete),0.00 (2012),1.25 (2009),unavailable,unavailable,Guns in Iceland[32],30.3
India,0.28,-2014,0.30 (2009),0.14 (2008),0.04 (2008),unavailable,Guns in India[33][34],4.2
Israel,2.09,-2011,1.04 (2011),0.67 (2011),0.05 (2011),0.26 (2011),Guns in Israel[35],7.3
Italy,1.31,-2010,0.35 (2010),0.87 (2010),0.09 (2010),0.02 (2010),Guns in Italy[36],11.9
Jamaica,30.72,(incomplete),30.38 (2013),0.34 (1995),unavailable,unavailable,Guns in Jamaica[37],8.1
Japan,0.06,(mixed years),0.00 (2008),0.04 (1999),0.01 (1999),0.01 (1999),Guns in Japan[38],0.6
Kuwait,0.36,(mixed years),0.36 (1995),0.00 (1999),0.00 (2000),0.00 (2000),Guns in Kuwait[39],24.8
Kyrgyzstan,1.01,-2010,0.53 (2010),0.07 (2010),0.28 (2010),0.13 (2010),Guns in Kyrgyzstan[40],0.9
Latvia,1.43,-2010,0.18 (2010),0.94 (2010),0.04 (2010),0.27 (2010),Guns in Latvia[41],19
Luxembourg,1.19,-2011,0.00 (2011),1.16 (2011),0.22 (2004),0.39 (2010),Guns in Luxembourg[42],15.3
Macedonia,1.69,(mixed years),0.91 (2011),0.63 (2010),0.15 (2010),0.00 (1997),Guns in Macedonia[43],NA
Mexico,7.64,(mixed years),6.34 (2015),0.44 (2014),0.40 (2014),0.46 (2014),Guns in Mexico[44],15
Moldova,1.03,-2011,0.45 (2011),0.42 (2011),0.08 (2011),0.08 (2011),Guns in Moldova[45],7.1
Montenegro,8.91,(incomplete),2.42 (2011),6.49 (2009),unavailable,unavailable,Guns in Montenegro[46],23.1
Netherlands,0.58,-2011,0.29 (2011),0.28 (2011),0.01 (2010),0.01 (2010),Guns in Netherlands[47],3.9
New Zealand,1.07,(mixed years),0.18 (2013),0.84 (2011),0.05 (2010),0.00 (2010),Guns in New Zealand[48],22.6
Nicaragua,4.68,(mixed years),3.72 (2012),0.34 (2010),0.16 (2010),0.46 (2010),Guns in Nicaragua[49],7.7
Norway,1.75,-2012,0.10 (2012),1.63 (2012),0.02 (2012),0.00 (2008),Guns in Norway[50],31.3
Panama,15.11,(mixed years),14.36 (2013),0.57 (2009),0.06 (2002),0.12 (2009),Guns in Panama[51],21.7
Paraguay,7.76,(mixed years),5.78 (2013),1.16 (2009),0.30 (2009),0.52 (2009),Guns in Paraguay[52],17
Peru,5.53,(mixed years),4.22 (2013),0.07 (2009),0.93 (2007),0.31 (2007),Guns in Peru[53],18.8
Philippines,8.9,(incomplete),8.90 (2003),unavailable,unavailable,unavailable,Guns in Philippines[54],4.7
Poland,0.26,-2011,0.04 (2011),0.09 (2011),0.03 (2011),0.10 (2011),Guns in Poland[55],1.3
Portugal,1.58,(mixed years),0.42 (2012),1.01 (2011),0.03 (2011),0.12 (2011),Guns in Portugal[56],8.5
Qatar,0.15,(incomplete),0.15 (2004),unavailable,unavailable,unavailable,Guns in Qatar[57],19.2
Romania,0.14,(mixed years),0.04 (2012),0.06 (2011),0.04 (2011),0.00 (2011),Guns in Romania[58],0.7
Serbia,3.49,-2012,0.61 (2012),2.49 (2012),0.14 (2012),0.29 (2012),Guns in Serbia[59],75.6
Singapore,0.16,(mixed years),0.02 (2006),0.12 (1998),0.02 (1998),0.00 (1998),Guns in Singapore[60],0.5
Slovakia,1.83,(mixed years),0.26 (2012),0.94 (2010),0.39 (2010),0.24 (2010),Guns in Slovakia[61],8.3
Slovenia,2.64,(mixed years),0.20 (2012),2.34 (2010),0.05 (2009),0.05 (2010),Guns in Slovenia[62],13.5
South Africa,8.3,-2010,8.2 (2010),0.1 (2010),0.02 (1999),0.11 (1999),Guns in South Africa[63],12.7
South Korea,0.08,(mixed years),0.02 (2011),0.04 (2002),0.01 (2002),0.01 (2002),Guns in South Korea[64],1.1
Spain,0.62,(mixed years),0.15 (2010),0.42 (2010),0.05 (2010),0.00 (2007),Guns in Spain[65],10.4
Swaziland,37.16,(incomplete),37.16 (2004),unavailable,unavailable,unavailable,Guns in Swaziland[66],6.4
Sweden,1.47,-2010,0.19 (2010),1.20 (2010),0.06 (2010),0.01 (2010),Guns in Sweden[67],31.6
Switzerland,3.08,(mixed years),0.23 (2013),2.68 (2011),0.10 (1998),0.07 (1994),Guns in Switzerland[68],45.7
Taiwan,0.87,(mixed years),0.60 (2008),0.12 (1994),0.11 (1994),0.04 (1994),Guns in Taiwan[69],NA
Turkey,1.95,(mixed years),1.03 (2016),0.81 (2013),0.11 (2016),0.01 (2016),Mixed sources [70][71][72],NA
Ukraine,0.24,(incomplete),0.24 (2009),unavailable,unavailable,unavailable,Guns in Ukraine[73],6.6
United Kingdom,0.23,-2011,0.06 (2011),0.15 (2011),0.00 (2011),0.02 (2011),Guns in the United Kingdom[74],6.6
United States,10.54,-2014,3.43 (2014),6.69 (2014),0.18 (2014),0.08 (2014),Guns in United States[75],112.6
Uruguay,11.52,(mixed years),4.78 (2013),4.68 (2009),2.00 (2009),0.06 (2009),Guns in Uruguay[76],31.8
Venezuela,59.13,(mixed years),39.00 (2009),0.48 (2007),0.17 (2007),19.48 (2007),Guns in Venezuela[77],10.7
Zimbabwe,0.39,(mixed years),0.3 (2007),0.09 (1995),unavailable,unavailable,Guns in Zimbabwe[78],4.6